"DeviceName","DeviceType","AssignedUser","Office","Description","OperatingSystem","SerialNumber","AssetTag","IPAddress","MACAddress","LastLogon","Enabled","Department","Manufacturer","Model"
"SEA-EXEC-001","Workstation","Dan Jump","Seattle - Main","Executive workstation for CEO Dan Jump","Windows 11 Enterprise","SN001-EXEC-2024","AT-001","10.214.10.10","00:11:22:33:44:01","2025-08-02 08:00:00","True","Executive","Dell","OptiPlex 7090"
"SEA-OPS-001","Workstation","Adam Barr","Seattle - Main","Operations workstation for General Manager Adam Barr","Windows 11 Enterprise","SN002-OPS-2024","AT-002","10.214.10.11","00:11:22:33:44:02","2025-08-02 08:15:00","True","Operations","Dell","OptiPlex 7090"
"SEA-PM-001","Workstation","Alan Steiner","Seattle - Main","Project Management workstation for Director Alan Steiner","Windows 11 Pro","SN003-PM-2024","AT-003","10.214.10.12","00:11:22:33:44:03","2025-08-02 08:30:00","True","Project Management","Dell","OptiPlex 5090"
"SEA-PM-002","Workstation","Chris Norred","Seattle - Main","Project Management workstation for PM Chris Norred","Windows 11 Pro","SN004-PM-2024","AT-004","10.214.10.13","00:11:22:33:44:04","2025-08-02 08:45:00","True","Project Management","Dell","OptiPlex 5090"
"SEA-OPS-002","Workstation","Diane Tibbot","Seattle - Main","Operations workstation for CFO Diane Tibbot","Windows 11 Enterprise","SN005-OPS-2024","AT-005","10.214.10.14","00:11:22:33:44:05","2025-08-02 09:00:00","True","Operations","Dell","OptiPlex 7090"
"SEA-ENG-001","Workstation","Christine Koch","Seattle - Engineering","Engineering workstation for Managing Director Christine Koch","Windows 11 Pro for Workstations","SN006-ENG-2024","AT-006","10.214.14.10","00:11:22:33:44:06","2025-08-02 07:30:00","True","Engineering","Dell","Precision 7670"
"SEA-EXEC-002","Workstation","Frank Martinez","Seattle - Main","Executive workstation for COO Frank Martinez","Windows 11 Enterprise","SN007-EXEC-2024","AT-007","10.214.10.15","00:11:22:33:44:07","2025-08-02 08:00:00","True","Executive","Dell","OptiPlex 7090"
"SEA-ACC-001","Workstation","Karim Manar","Seattle - Finance","Accounting workstation for Controller Karim Manar","Windows 11 Pro","SN008-ACC-2024","AT-008","10.214.18.10","00:11:22:33:44:08","2025-08-02 08:30:00","True","Accounting","Dell","OptiPlex 5090"
"HOU-SALES-001","Workstation","Dan Park","Houston - Sales","Sales workstation for VP Dan Park","Windows 11 Pro","SN009-SAL-2024","AT-009","10.214.22.10","00:11:22:33:44:09","2025-08-02 09:00:00","True","Sales","Dell","OptiPlex 5090"
"SEA-EXEC-003","Workstation","Jeff Hay","Seattle - Main","Executive workstation for CVP Jeff Hay","Windows 11 Enterprise","SN010-EXEC-2024","AT-010","10.214.10.16","00:11:22:33:44:10","2025-08-02 08:15:00","True","Executive","Dell","OptiPlex 7090"
"SEA-DC-001","Domain Controller","","Seattle - Main","Primary Domain Controller for Seattle office","Windows Server 2022 Datacenter","SN-SRV-001-2024","SVR-001","10.214.10.17","00:11:22:33:AA:01","2025-08-02 00:00:00","True","IT Infrastructure","Dell","PowerEdge R750"
"SEA-DC-002","Domain Controller","","Seattle - Main","Secondary Domain Controller for Seattle office","Windows Server 2022 Datacenter","SN-SRV-002-2024","SVR-002","10.214.10.18","00:11:22:33:AA:02","2025-08-02 00:00:00","True","IT Infrastructure","Dell","PowerEdge R750"
"SEA-FILE-001","File Server","","Seattle - Main","Primary file server for Seattle office","Windows Server 2022 Standard","SN-SRV-003-2024","SVR-003","10.214.10.19","00:11:22:33:AA:03","2025-08-02 00:00:00","True","IT Infrastructure","Dell","PowerEdge R740"
"SEA-SQL-001","Database Server","","Seattle - Main","SQL Server for corporate applications","Windows Server 2022 Standard","SN-SRV-004-2024","SVR-004","10.214.10.20","00:11:22:33:AA:04","2025-08-02 00:00:00","True","IT Infrastructure","Dell","PowerEdge R750"
"SEA-EX-001","Exchange Server","","Seattle - Main","Exchange Server for email services","Windows Server 2022 Standard","SN-SRV-005-2024","SVR-005","10.214.10.21","00:11:22:33:AA:05","2025-08-02 00:00:00","True","IT Infrastructure","Dell","PowerEdge R740"
"HOU-DC-001","Domain Controller","","Houston - Sales","Domain Controller for Houston office","Windows Server 2022 Standard","SN-SRV-006-2024","SVR-006","10.214.22.11","00:11:22:33:BB:01","2025-08-02 00:00:00","True","IT Infrastructure","Dell","PowerEdge R650"
"HOU-FILE-001","File Server","","Houston - Sales","File server for Houston office","Windows Server 2022 Standard","SN-SRV-007-2024","SVR-007","10.214.22.12","00:11:22:33:BB:02","2025-08-02 00:00:00","True","IT Infrastructure","Dell","PowerEdge R640"
"NYC-DC-001","Domain Controller","","New York - Strategy","Domain Controller for New York office","Windows Server 2022 Standard","SN-SRV-008-2024","SVR-008","10.214.26.10","00:11:22:33:CC:01","2025-08-02 00:00:00","True","IT Infrastructure","Dell","PowerEdge R650"
"NYC-FILE-001","File Server","","New York - Strategy","File server for New York office","Windows Server 2022 Standard","SN-SRV-009-2024","SVR-009","10.214.26.11","00:11:22:33:CC:02","2025-08-02 00:00:00","True","IT Infrastructure","Dell","PowerEdge R640"
"SEA-PRINT-001","Printer","","Seattle - Main","Main reception area printer","","PR-SN-001-2024","PRT-001","10.214.10.22","00:11:22:33:DD:01","","True","Operations","HP","LaserJet Enterprise M507dn"
"SEA-PRINT-002","Printer","","Seattle - Main","Executive floor printer","","PR-SN-002-2024","PRT-002","10.214.10.23","00:11:22:33:DD:02","","True","Executive","HP","LaserJet Enterprise M507dn"
"SEA-PRINT-003","Printer","","Seattle - Engineering","Engineering department printer","","PR-SN-003-2024","PRT-003","10.214.14.11","00:11:22:33:DD:03","","True","Engineering","HP","LaserJet Enterprise M507dn"
"SEA-PRINT-004","Printer","","Seattle - Finance","Finance department printer","","PR-SN-004-2024","PRT-004","10.214.18.11","00:11:22:33:DD:04","","True","Accounting","HP","LaserJet Enterprise M507dn"
"SEA-COLOR-001","Printer","","Seattle - Main","Color printer for marketing materials","","PR-SN-005-2024","PRT-005","10.214.10.24","00:11:22:33:DD:05","","True","Marketing","HP","Color LaserJet Enterprise M555dn"
"HOU-PRINT-001","Printer","","Houston - Sales","Houston office main printer","","PR-SN-006-2024","PRT-006","10.214.22.13","00:11:22:33:DD:06","","True","Sales","HP","LaserJet Enterprise M507dn"
