"Department","DistinguishedName","Enabled","GivenName","mail","Manager","Name","ObjectClass","ObjectGUID","OfficePhone","SamAccountName","SID","sn","Surname","Title","UserPrincipalName","Office","EmployeeID","Description","StreetAddress","MobilePhone","EmployeeType","City","State","PostalCode"
"Executive","CN=Dan Jump","True","Dan","","","Dan Jump","user","b7de08a6-8417-491b-be62-85945a538f46","(425) 555-0179","danj","S-1-5-21-331390976-2650875657-2422772959-1705","Jump","Jump","CEO","","Seattle - Main","EMP001","Chief Executive Officer responsible for overall company strategy and operations","123 Corporate Plaza","(425) 555-0179","Full-time","Seattle","WA","98101"
"Operations","CN=Adam Barr","True","Adam","","CN=Dan Jump","Adam Barr","user","7846c22f-d3d8-4e02-8b62-d055d0284783","(206) 555-5472","adamb","S-1-5-21-331390976-2650875657-2422772959-1706","Barr","Barr","General Manager of Professional Services","","Seattle - Main","EMP002","General Manager overseeing Professional Services division","123 Corporate Plaza","(206) 555-5473","Full-time","Seattle","WA","98101"
"Project Management","CN=Alan Steiner","True","Alan","","CN=Adam Barr","Alan Steiner","user","5ff9eed7-6b0d-4b20-bed5-b0b904191880","(206) 555-2443","alans","S-1-5-21-331390976-2650875657-2422772959-1707","Steiner","Steiner","Director of Project Management Team","","Seattle - Main","EMP003","Director responsible for project management operations and team leadership","123 Corporate Plaza","(206) 555-2444","Full-time","Seattle","WA","98101"
"Project Management","CN=Chris Norred","True","Chris","","CN=Alan Steiner","Chris Norred","user","72d2b1b2-1f94-4d3a-be01-c327e35c72b6","(206) 555-1931","chrisn","S-1-5-21-331390976-2650875657-2422772959-1708","Norred","Norred","Project Manager","","Seattle - Main","EMP004","Project Manager handling client projects and deliverables","123 Corporate Plaza","(206) 555-1932","Full-time","Seattle","WA","98101"
"Operations","CN=Diane Tibbot","True","Diane","","CN=Adam Barr","Diane Tibbot","user","f04f136b-df92-46bf-a161-f2990a823694","(206) 555-9327","dianet","S-1-5-21-331390976-2650875657-2422772959-1709","Tibbot","Tibbot","CFO of Professional Services","","Seattle - Main","EMP005","Chief Financial Officer for Professional Services operations","123 Corporate Plaza","(206) 555-9328","Full-time","Seattle","WA","98101"
"Engineering","CN=Christine Koch","True","Christine","","CN=Adam Barr","Christine Koch","user","bfb3de68-ea0c-4087-a0c8-176f83b674e3","(206) 555-2987","christk","S-1-5-21-331390976-2650875657-2422772959-1710","Koch","Koch","Managing Director","","Seattle - Engineering","EMP006","Managing Director of Engineering and Technical Operations","456 Innovation Drive","(206) 555-2988","Full-time","Seattle","WA","98102"
"Executive","CN=Frank Martinez","True","Frank","","CN=Dan Jump","Frank Martinez","user","8724dd1b-c401-4487-9ea8-4c224ef67710","(425) 555-0121","frankm1","S-1-5-21-331390976-2650875657-2422772959-1711","Martinez","Martinez","COO","","Seattle - Main","EMP007","Chief Operating Officer responsible for day-to-day operations","123 Corporate Plaza","(425) 555-0122","Full-time","Seattle","WA","98101"
"Accounting","CN=Karim Manar","True","Karim","","CN=Diane Tibbot","Karim Manar","user","7db937b4-a31a-448f-bc54-7b871e609506","(206) 555-4156","karimm","S-1-5-21-331390976-2650875657-2422772959-1712","Manar","Manar","Controller","","Seattle - Finance","EMP008","Financial Controller managing accounting operations and reporting","789 Financial Center","(206) 555-4157","Full-time","Seattle","WA","98103"
"Sales","CN=Dan Park","True","Dan","","CN=Adam Barr","Dan Park","user","242f6e15-e469-4e42-9510-0483f6d019c9","(713) 555-6563","danp","S-1-5-21-331390976-2650875657-2422772959-1713","Park","Park","Vice President NA Sales","","Houston - Sales","EMP009","VP of North American Sales operations and strategy","321 Sales Tower","(713) 555-6564","Full-time","Houston","TX","77001"
"Executive","CN=Jeff Hay","True","Jeff","","CN=Frank Martinez","Jeff Hay","user","0b23837b-8fdb-4edf-a50b-325ed0625086","(425) 555-0187","jeffh","S-1-5-21-331390976-2650875657-2422772959-1714","Hay","Hay","CVP of Operations","","Seattle - Main","EMP010","Corporate Vice President overseeing operational excellence","123 Corporate Plaza","(425) 555-0188","Full-time","Seattle","WA","98101"
