"Key","GivenName","Surname","DisplayName","Department","JobTitle","UsageLocation","AccountEnabled","Manager","EmployeeId","EmployeeType","MailDiffersFromUpn","Tier","Purpose"
"awhitfield","Ada","Whitfield","Ada Whitfield","Executive","Chief Executive","US","TRUE","","E1001","Employee","FALSE","Core","Top of the manager chain and has no manager of her own; the null that breaks recursive walks"
"jnino","José","Niño","José Niño","Engineering","Principal Engineer","US","TRUE","awhitfield","E1002","Employee","FALSE","Core","Non-ASCII display name with an ASCII UPN, which is what a real directory looks like"
"zmueller","Zoë","Müller","Zoë Müller","Engineering","Staff Engineer","DE","TRUE","jnino","0007","Employee","FALSE","Core","Non-ASCII, and an employeeId with leading zeros that any numeric cast destroys"
"mbell","Marcus","Bell","Marcus Bell","Sales","Account Executive","US","FALSE","awhitfield","E1004","Employee","FALSE","Core","Disabled but still licensed and still in groups; the half-finished offboarding"
"praghunathan","Priya","Raghunathan","Priya Raghunathan","Finance","Financial Controller","GB","TRUE","awhitfield","E1005","Employee","FALSE","Core","Holds the same licence both directly and by group, so the assignment path is ambiguous"
"talvarez","Tomás","Álvarez","Tomás Álvarez","IT","Systems Architect","ES","TRUE","jnino","E1006","Employee","TRUE","Core","In two departments' groups at once, and mail does not match userPrincipalName"
"hkobayashi","花","小林","小林 花","Human Resources","HR Business Partner","JP","TRUE","","E1007","Employee","FALSE","Core","No manager, no groups, no licence; every empty case in one account, and the kanji name that gives the eight-user Okta seed its only non-Latin script"
"ofitzgerald","Owen","Fitzgerald","Owen Fitzgerald","Sales","Sales Development","","TRUE","mbell","E1008","Employee","FALSE","Core","No usageLocation, so licence assignment fails the way it really does in production"
"svcreporting","","","Reporting Service","Information Technology","Service Account","US","TRUE","","","Service","FALSE","Core","A non-human account with no given or surname, which name-splitting logic assumes exists"
"jjiang","俊誉","姜","姜　俊誉","Engineering","Site Reliability Engineer","CN","TRUE","jnino","E1021","Employee","FALSE","Core","Han name with the family name first and an ideographic space between, so splitting on a space finds one token and taking the last word as the surname is backwards"
"tyoshida","太郎","𠮷田","𠮷田 太郎","Engineering","Build Engineer","JP","TRUE","jnino","E1022","Employee","FALSE","Core","A surname outside the basic plane, so its one character is two UTF-16 units and any length check or truncation splits the pair into rubbish"
"dvolkov","Дмитрий","Волков","Дмитрий Волков","Information Technology","Infrastructure Engineer","PL","TRUE","awhitfield","E1023","Employee","FALSE","Core","Cyrillic letters that are drawn the same as Latin ones, so a duplicate check made by eye passes where one made by codepoint fails"
"gpapadopoulos","Γιώργος","Παπαδόπουλος","Γιώργος Παπαδόπουλος","Finance","Financial Analyst","GR","TRUE","awhitfield","E1024","Employee","FALSE","Core","Greek, where the final sigma is a different letter from the medial one, so upper-casing a name and lower-casing it again does not return the name"
"malahmad","محمد","الأحمد","محمد الأحمد","Information Technology","Network Engineer","AE","TRUE","awhitfield","E1025","Employee","FALSE","Core","Right-to-left text, which displays in an order that is not the order it is stored in as soon as it is joined to anything Latin, such as a report column or a distinguished name"
"jmarchetti","José","Marchetti","José Marchetti","Marketing","Campaign Manager","IT","TRUE","mbell","E1026","Employee","FALSE","Core","The same José the eye reads on jnino and a different string to every comparison, because this one is stored decomposed as an e followed by a combining accent"
"iisik","Irmak","Işık","Irmak Işık","Human Resources","HR Advisor","TR","TRUE","awhitfield","E1027","Employee","FALSE","Core","Turkish dotted and dotless i, where lower-casing under a Turkish culture returns a different string from lower-casing under the invariant one"
"jweiss","Jürgen","Weiß","Jürgen Weiß","Sales","Account Executive","DE","TRUE","mbell","E1028","Employee","FALSE","Core","An eszett, which upper-cases into two characters, so the name grows by one every time it is normalised for a comparison or measured against a length limit"
"schaudhary","सुनीता","चौधरी","सुनीता चौधरी","Engineering","Data Engineer","IN","TRUE","jnino","E1029","Employee","FALSE","Core","Devanagari with combining vowel signs, so the number of characters and the number of marks a reader sees are different numbers and a column aligned on the first is ragged"
"danj","Dan","Jump","Dan Jump","Executive","CEO","GB","TRUE","","EMP001","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Executive)"
"adamb","Adam","Barr","Adam Barr","Operations","General Manager of Professional Services","US","TRUE","danj","EMP002","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Operations)"
"alans","Alan","Steiner","Alan Steiner","Project Management","Director of Project Management Team","US","TRUE","adamb","EMP003","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Project Management)"
"chrisn","Chris","Norred","Chris Norred","Project Management","Project Manager","IE","TRUE","alans","EMP004","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Project Management)"
"dianet","Diane","Tibbot","Diane Tibbot","Operations","CFO of Professional Services","US","TRUE","adamb","EMP005","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Operations)"
"christk","Christine","Koch","Christine Koch","Engineering","Managing Director","JP","TRUE","adamb","EMP006","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Engineering)"
"frankm1","Frank","Martinez","Frank Martinez","Executive","COO","GB","TRUE","danj","EMP007","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Executive)"
"karimm","Karim","Manar","Karim Manar","Accounting","Controller","DE","TRUE","dianet","EMP008","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Accounting)"
"danp","Dan","Park","Dan Park","Sales","Vice President NA Sales","US","TRUE","adamb","EMP009","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Sales)"
"jeffh","Jeff","Hay","Jeff Hay","Executive","CVP of Operations","JP","TRUE","frankm1","EMP010","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Executive)"
"garthf","Garth","Fort","Garth Fort","Human Resources","HR Manager","ES","TRUE","karimm","EMP011","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Human Resources)"
"cesarg","Cesar","Garcia","Cesar Garcia","Strategy Consulting","Strategy Consulting Manager","ES","TRUE","christk","EMP012","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"christg","Christa","Geller","Christa Geller","Executive","CVP of Online","ES","TRUE","jeffh","EMP013","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Executive)"
"jackc","Jack","Creasey","Jack Creasey","Sales Engagement Management","Managing Director","US","TRUE","danp","EMP014","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Sales Engagement Management)"
"davidm","David","Maman","David Maman","Strategy Consulting","Strategy Consulting Manager","IE","TRUE","christk","EMP015","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"alanb","Alan","Brewer","Alan Brewer","Sales","Regional Sales Manager","IE","TRUE","jackc","EMP016","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Sales)"
"davids","David","Simpson","David Simpson","Sales Engagement Management","Sales Manager","US","TRUE","alanb","EMP017","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Sales Engagement Management)"
"annal","Anna","Lidman","Anna Lidman","Senior Management","SVP of Online Services","US","TRUE","christg","EMP018","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Senior Management)"
"eduardd","Eduard","Dell","Eduard Dell","Sales","Regional Sales Manager","DE","TRUE","jackc","EMP019","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Sales)"
"spencel","Spencer","Low","Spencer Low","Sales","Regional Sales Manager","JP","TRUE","jackc","EMP020","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Sales)"
"kellyw","Kelly","Weadock","Kelly Weadock","Operations","CTO of Professional Services","DE","TRUE","adamb","EMP021","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Operations)"
"mollyc","Molly","Clark","Molly Clark","Senior Management","GM of Online Ad Sales and Affiliate Marketing","AU","TRUE","annal","EMP022","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Senior Management)"
"larryz","Larry","Zhang","Larry Zhang","Sales","Regional Sales Manager","JP","TRUE","jackc","EMP023","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Sales)"
"arturol","Arturo","Lopez","Arturo Lopez","Operations","IT Director","GB","TRUE","kellyw","EMP024","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Operations)"
"aprils","April","Stewart","April Stewart","Sales","Sales Manager","ES","TRUE","eduardd","EMP025","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Sales)"
"aaronp","Aaron","Painter","Aaron Painter","Strategy Consulting","Strategy Consulting Manager","US","TRUE","christk","EMP026","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"andrewm","Andrew","Ma","Andrew Ma","Project Management","Senior Project Manager","AU","TRUE","alans","EMP027","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Project Management)"
"dianep","Diane","Prescott","Diane Prescott","Marketing","Director of Ad Sales","US","TRUE","mollyc","EMP028","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Marketing)"
"arthury","Arthur","Yasinski","Arthur Yasinski","Sales Engagement Management","Sales Manager","JP","TRUE","spencel","EMP029","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Sales Engagement Management)"
"brads","Brad","Sutton","Brad Sutton","Strategy Consulting","Strategy Consulting Manager","US","TRUE","christk","EMP030","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"amya","Amy","Alberts","Amy Alberts","Human Resources","HR Manager","JP","TRUE","garthf","EMP031","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Human Resources)"
"stevel","Steve","Luper","Steve Luper","Sales","Regional Sales Manager","GB","TRUE","jackc","EMP032","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Sales)"
"juliani","Julian","Isla","Julian Isla","Senior Management","Sr. Business Development Manager","CA","TRUE","mollyc","EMP033","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Senior Management)"
"scottb","Scott","Bishop","Scott Bishop","Project Management","Senior Project Manager","JP","TRUE","alans","EMP034","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Project Management)"
"kellyk","Kelly","Krout","Kelly Krout","Marketing","Marketing Manager","DE","TRUE","adamb","EMP035","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Marketing)"
"stano","Stan","Orme","Stan Orme","Content Management Consulting","Content Management Consulting Manager","ES","TRUE","alans","EMP036","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Content Management Consulting)"
"miken","Mike","Nash","Mike Nash","Project Management","Senior Project Manager","AU","TRUE","alans","EMP037","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Project Management)"
