"Username","GivenName","Surname","DisplayName","Lifecycle","Class","Title","OrgUnit","Manager","Groups","EmployeeNumber","EmployeeType","LoginShell","HomeDirectory","Phone","Mobile","Street","City","State","PostalCode","PreferredLanguage","UserAuthType","PasswordState","PrincipalExpiresInDays","SshPublicKeys","CertMapData","RadiusProxy","RadiusUsername","IdentityProvider","IdpUserId","NoPrivateGroup","PrimaryGroup","Tier","Purpose"
"awhitfield","Ada","Whitfield","Ada Whitfield","Active","employee","Chief Technology Officer","Engineering","","all-staff;dept-engineering;lab-admins","E1001","Employee","/bin/bash","","+1 206 555 0100","+1 206 555 0101","123 Corporate Plaza","Seattle","WA","98101","en-US","","Current","","ssh-ed25519 AAAAC3NzaC1lZDI1NTE5AAAAIA4gGtU71XgUkkWUP5Fml4ryubaKKx3teK8Ss91W3lN+ awhitfield@lab","CN=Lab Issuing CA,O=IPALAB|CN=Ada Whitfield,O=IPALAB","","","","","FALSE","","Core","Top of the manager chain; a certificate mapping, a key, and a direct member of a seeded role"
"jnino","José","Niño","José Niño","Active","employee","Platform Engineer","Engineering","awhitfield","all-staff;dept-engineering;team-platform","E1002","Employee","/bin/bash","","+1 206 555 0102","","123 Corporate Plaza","Seattle","WA","98101","es-ES","otp","MustChange","","ssh-ed25519 AAAAC3NzaC1lZDI1NTE5AAAAIN7uuCaVaBovANREx8ZtA/Z/9iYBbOFftGaA5qG4mK4n jnino@lab","","","","","","FALSE","","Core","Accented name; three-deep group membership; must use a token, and has one"
"zmueller","Zoë","Müller","Zoë Müller","Active","employee","Platform Engineer","Engineering","jnino","all-staff;dept-engineering;team-platform;site-zurich","E1003","Employee","/usr/bin/zsh","/home/zurich/zmueller","+41 44 555 0103","+41 79 555 0103","Bahnhofstrasse 1","Zürich","ZH","8001","de-CH","","MustChange","","ssh-ed25519 AAAAC3NzaC1lZDI1NTE5AAAAIMik4KnGs+fSxHyHt+78pGwX8LUOCh9Fj5ndgN3HEhWd zmueller1@lab;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDVvhmrKYrGfAnMpJCRQWV0uGrBrAFGCeYfnJ0RPUiIzab1N4P7hr34K3g2Db2vzMopmdA6B/0J5LVd3beXecSxLg0FGEUA0R8FLbZyR2yTQ7Gd5peGqf/Zk81Cj4Pqj7/JmzZWL/7YCCTR20sV+RflusBXf2C0ioCOqzMEXM0yEArPfwygOEHKqr+SKrBTOpLtslo6JdJ6AoCj9XC+iTyR3Fv1y3Yl1NpOV/B/sr0GkF1MUlueXiGarPOEK1MiEqIiw9O29VabZTK7eB5ai7LtYQvIgiqs5zusWgndO9JO5SClgfAxL47ecbqOrakdLQ6B4YneUJllBIl45y+hikm7 zmueller-legacy@lab","","","","","","FALSE","","Core","Accented name and city; a shell and home that are not the defaults; two keys; overridden by the ID view on the legacy host"
"mbell","Marcus","Bell","Marcus Bell","Active","employee","Sales Director","Sales","awhitfield","all-staff;dept-sales","E1004","Employee","/bin/bash","","+1 713 555 0104","+1 713 555 0105","500 Sales Tower","Houston","TX","77002","en-US","","MustChange","","","","","","","","FALSE","","Core","A department with no children; holds a token that expired yesterday"
"praghunathan","Priya","Raghunathan","Priya Raghunathan","Active","employee","Finance Manager","Finance","awhitfield","all-staff;dept-finance","E1005","Employee","/bin/bash","","+1 206 555 0106","","123 Corporate Plaza","Seattle","WA","98101","en-US","radius","None","","","","legacy-radius","praghu","","","FALSE","","Core","The only user the payroll rule admits, and admitted twice: by name and by group"
"talvarez","Tomás","Álvarez","Tomás Álvarez","Disabled","employee","Account Executive","Sales","mbell","all-staff;dept-sales","E1006","Employee","/bin/bash","","+1 713 555 0107","","500 Sales Tower","Houston","TX","77002","es-MX","","MustChange","","","","","","","","FALSE","","Core","Disabled account that still holds memberships, an HBAC rule, a sudo rule, a disabled token and an override"
"hkobayashi","Hana","Kobayashi","Hana Kobayashi","Active","contractor","Security Consultant","Contractors","","contractors","C2001","Contractor","/bin/bash","","","+81 90 5555 0201","","Tokyo","","","ja-JP","otp","MustChange","","","","","","","","FALSE","","Core","Contractor whose authentication type demands a token nobody enrolled, so she cannot log in and nothing says so"
"ofitzgerald","Orla","Fitzgerald","Orla Fitzgerald","Active","contractor","UX Contractor","Contractors","","contractors","","Contractor","/bin/bash","","","","","Dublin","","","en-IE","idp","None","-14","","","","","github","ofitzgerald-gh","TRUE","contractors","Core","No private group, so her primary GID is the contractors group; her principal expired two weeks ago and the account was never disabled"
"nsorensen","Nadia","Sørensen","Nadia Sørensen","Active","intern","Intern","Engineering","jnino","all-staff;dept-engineering","","Intern","/bin/bash","/home/interns/nsorensen","","","123 Corporate Plaza","Seattle","WA","98101","da-DK","","None","","","","","","","","FALSE","","Core","No employee number and no password ever set; a report must cope with a missing attribute"
"svc-reporting","Reporting","Service","Reporting Service","Active","service","Reporting service account","IT","awhitfield","svc-accounts","","Service","/sbin/nologin","","","","","","","","","","None","","","","","","","","FALSE","","Core","A service account among the humans, with no shell to log in with"
"lchen","Lin","Chen","Lin Chen","Staged","employee","Site Reliability Engineer","Engineering","awhitfield","","E1011","Employee","/bin/bash","","","","","Seattle","WA","98101","zh-CN","","None","","","","","","","","FALSE","","Core","A hire who has not started: staged, invisible to user-find, and unable to hold a membership until activated"
"rokafor","Rita","Okafor","Rita Okafor","Preserved","employee","Account Executive","Sales","mbell","all-staff;dept-sales","E1012","Employee","/bin/bash","","","","","Houston","TX","77002","en-US","","None","","","","","","","","FALSE","","Core","A leaver kept for the audit trail: created with these memberships, then preserved, which strips every one of them"
"aaronp","Aaron","Painter","Aaron Painter","Active","employee","Strategy Consulting Manager","Strategy Consulting","christk","all-staff;allemployees;fulltimeemployees;strategyconsulting;newyorkoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;engineeringfileaccess","EMP026","Full-time","/bin/bash","","(212) 555-8335","(212) 555-8336","456 Madison Ave","New York","NY","10022","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Strategy Consulting)"
"adamb","Adam","Barr","Adam Barr","Active","employee","General Manager of Professional Services","Operations","danj","all-staff;allemployees;fulltimeemployees;operations;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;testserveroperators","EMP002","Full-time","/bin/bash","","(206) 555-5472","(206) 555-5473","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Operations)"
"alanb","Alan","Brewer","Alan Brewer","Active","employee","Regional Sales Manager","Sales","jackc","all-staff;allemployees;fulltimeemployees;sales;richmondoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP016","Full-time","/bin/bash","","(804) 555-2217","(804) 555-2218","456 Capitol St","Richmond","VA","23219","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales)"
"alans","Alan","Steiner","Alan Steiner","Active","employee","Director of Project Management Team","Project Management","adamb","all-staff;allemployees;fulltimeemployees;projectmanagement;seattlemainoffice;directors;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP003","Full-time","/bin/bash","","(206) 555-2443","(206) 555-2444","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Project Management)"
"alexans","Alexandre","Silva","Alexandre Silva","Active","contractor","Project Manager","1099 Contractor","briang","contractors;allcontractors;contractworkers;seattlemainoffice;managers","EMP098","Contractor","/bin/bash","","(206) 555-5413","(206) 555-5414","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (1099 Contractor)"
"alfonsp","Alfons","Parovszky","Alfons Parovszky","Active","employee","Content Management Consultant","Content Management Consulting","stano","all-staff;allemployees;fulltimeemployees;contentmanagement;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP125","Full-time","/bin/bash","","(206) 555-1659","(206) 555-1660","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Content Management Consulting)"
"aliciat","Alicia","Thomber","Alicia Thomber","Active","employee","Salesperson","Sales","davids","all-staff;allemployees;fulltimeemployees;sales;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP227","Full-time","/bin/bash","","(714) 555-4825","(714) 555-4826","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales)"
"alisal","Alisa","Lawyer","Alisa Lawyer","Active","employee","Project Manager","Project Management","scottb","all-staff;allemployees;fulltimeemployees;projectmanagement;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;salesmanagement;compliancereporting","EMP163","Full-time","/bin/bash","","(206) 555-4738","(206) 555-4739","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Project Management)"
"allang","Allan","Guinot","Allan Guinot","Active","employee","Engineer","Engineering Operations","carolt","all-staff;allemployees;fulltimeemployees;engineeringoperations;seattleengineeringoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP069","Full-time","/bin/bash","","(206) 555-6127","(206) 555-6128","456 Innovation Drive","Seattle","WA","98102","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Engineering Operations)"
