"Key","GivenName","FamilyName","Population","Title","Department","Enabled","MfaEnabled","BadgeId","Contractor","Entitlements","Groups","Tier","Purpose"
"awhitfield","Ada","Whitfield","staff","Chief Executive","Executive","TRUE","TRUE","B-1001","FALSE","vpn;wiki;expenses","all-staff;leadership","Core","Top of the chain, and the only member of Leadership"
"jnino","José","Niño","staff","Principal Engineer","Engineering","TRUE","TRUE","B-1002","FALSE","vpn;wiki","all-staff;engineering;platform","Core","Accented name with an ASCII username, and three-deep group membership"
"zmueller","Zoë","Müller","staff","Staff Engineer","Engineering","TRUE","FALSE","B-1003","FALSE","vpn","all-staff;engineering","Core","Accented name, and MFA off where most of the directory has it on"
"mbell","Marcus","Bell","staff","Account Executive","Sales","FALSE","TRUE","B-1004","FALSE","expenses","all-staff;sales","Core","Disabled but still in every group; the half-finished offboarding that membership reports count as active"
"praghunathan","Priya","Raghunathan","staff","Financial Controller","Finance","TRUE","TRUE","B-1005","FALSE","expenses;payroll","all-staff;finance","Core","In the only group the finance application is assigned to"
"talvarez","Tomás","Álvarez","staff","Systems Architect","IT","TRUE","TRUE","B-1006","FALSE","vpn;wiki","all-staff;engineering;sales","Core","In two departments at once, so any per-user department assumption is wrong about him"
"hkobayashi","花","小林","contractors","Security Consultant","Contractors","TRUE","FALSE","C-2001","TRUE","wiki","contractors","Core","Kanji name, a contractor flag that is true, and no membership of the staff chain at all"
"ofitzgerald","Owen","Fitzgerald","contractors","UX Contractor","Contractors","TRUE","FALSE","","TRUE","","contractors","Core","No badge id and no entitlements, so a report has to cope with attributes that are simply absent"
"svcreporting","Reporting","Service","staff","Service Account","IT","TRUE","FALSE","S-9001","FALSE","","","Core","A non-human account among the people, in no group at all, which must never be mistaken for the worker application"
"pmorel","Pascale","Morel","partners","Partner Analyst","Partners","TRUE","FALSE","P-3001","TRUE","wiki","partners","Core","The only member of the population-scoped group, so adding anyone else to it has to be refused by the directory rather than by this module"
"jjiang","俊誉","姜","staff","Site Reliability Engineer","Engineering","TRUE","TRUE","B-1021","FALSE","vpn;wiki","all-staff;engineering;platform","Core","Han name, family name first, joined by an ideographic space that is not U+0020"
"tyoshida","太郎","𠮷田","staff","Build Engineer","Engineering","TRUE","TRUE","B-1022","FALSE","vpn","all-staff;engineering","Core","A surname above the basic plane, so one character is two UTF-16 units and truncation splits it"
"dvolkov","Дмитрий","Волков","staff","Infrastructure Engineer","IT","TRUE","TRUE","B-1023","FALSE","vpn","all-staff;engineering","Core","Cyrillic homoglyphs, which a duplicate check made by eye cannot tell from Latin"
"gpapadopoulos","Γιώργος","Παπαδόπουλος","staff","Financial Analyst","Finance","TRUE","FALSE","B-1024","FALSE","expenses","all-staff","Core","Greek final sigma, so upper-casing and lower-casing does not return the name. In no department group, because praghunathan is meant to be the only member the finance application admits"
"malahmad","محمد","الأحمد","staff","Network Engineer","IT","TRUE","TRUE","B-1025","FALSE","vpn;wiki","all-staff;engineering","Core","Right-to-left, stored in one order and displayed in another wherever it is joined to a Latin username"
"jmarchetti","José","Marchetti","staff","Campaign Manager","Marketing","TRUE","FALSE","B-1026","FALSE","wiki","all-staff","Core","The same José the eye reads on jnino and a different string to every comparison, because this one is stored decomposed"
"iisik","Irmak","Işık","staff","HR Advisor","Human Resources","TRUE","TRUE","B-1027","FALSE","wiki","all-staff","Core","Turkish dotted and dotless i, which lower-case differently under a Turkish culture"
"jweiss","Jürgen","Weiß","staff","Account Executive","Sales","TRUE","TRUE","B-1028","FALSE","expenses","all-staff;sales","Core","An eszett, which upper-cases into two characters and makes the name longer"
"schaudhary","सुनीता","चौधरी","staff","Data Engineer","Engineering","TRUE","TRUE","B-1029","FALSE","vpn;wiki","all-staff;engineering;platform","Core","Devanagari combining vowel signs, so character count and visible marks are different numbers"
"danj","Dan","Jump","staff","CEO","Executive","TRUE","TRUE","B-3001","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Executive)"
"adamb","Adam","Barr","staff","General Manager of Professional Services","Operations","TRUE","TRUE","B-3002","FALSE","vpn;wiki","all-staff;engineering","Bulk","Bulk directory volume (Operations)"
"alans","Alan","Steiner","staff","Director of Project Management Team","Project Management","TRUE","TRUE","B-3003","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Project Management)"
"chrisn","Chris","Norred","staff","Project Manager","Project Management","TRUE","FALSE","B-3004","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Project Management)"
"dianet","Diane","Tibbot","staff","CFO of Professional Services","Operations","TRUE","FALSE","B-3005","FALSE","vpn;wiki","all-staff;engineering","Bulk","Bulk directory volume (Operations)"
"christk","Christine","Koch","staff","Managing Director","Engineering","TRUE","TRUE","B-3006","FALSE","","all-staff;engineering","Bulk","Bulk directory volume (Engineering)"
"frankm1","Frank","Martinez","staff","COO","Executive","TRUE","TRUE","B-3007","FALSE","","all-staff","Bulk","Bulk directory volume (Executive)"
"karimm","Karim","Manar","partners","Controller","Accounting","TRUE","TRUE","B-3008","FALSE","","partners","Bulk","Bulk directory volume (Accounting)"
"danp","Dan","Park","staff","Vice President NA Sales","Sales","TRUE","FALSE","B-3009","FALSE","vpn;wiki","all-staff;sales","Bulk","Bulk directory volume (Sales)"
"jeffh","Jeff","Hay","staff","CVP of Operations","Executive","TRUE","FALSE","B-3010","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Executive)"
